condition,objective_id,objective_value,baseline_objective,objective_delta,objective_pct_change,glucose_flux,oxygen_flux,co2_flux,acetate_flux,propionate_flux,butyrate_flux
StachysDose_High,ATPM,133.91166666666672,34.711666666667384,99.19999999999932,285.7828779949026,-1.0,-30.64,28.98,-8.0,0.0,-1.6
StachysDose_Mid,ATPM,84.31166666666668,34.711666666667384,49.5999999999993,142.89143899745025,-1.0,-18.639999999999997,17.779999999999994,-4.0,0.0,-0.8
StachysDose_Low,ATPM,59.51166666666665,34.711666666667384,24.799999999999265,71.44571949872402,-1.0,-12.639999999999992,12.179999999999994,-2.0,0.0,-0.4
